reviewContent,sentiment
"Saya sdh mengetes tv ini, baik siaran analog ataupun digital, juga internet sperti youtube atau pun situs berita dengan browser bawaan berjalan lancar. Yg belun berhasil dites adalah fitur MHL dan Screen Mirorring karena membutuhkan perangkat mobile yg mendukung fitur tsb.",pos
"Responnya cepat, barangnya cepat sampai juga, terimakasih lazada",pos
Puass dengan pelayanan kencana electronic... Pelayanan ramah pingirimannya cepat...,pos
USB nya cm pormalitas doang gx bs d gunakn,neg
Saya sangat2 kecewa banget kenapa sih udah di tranfer malah di batalin barang nya gmn sih lazada...,neg
pengiriman cepat sekali dan barangnya sangat bagus. rekomended bgt tempat blanja nya,pos
"barang sudah sampai dengan kondisinya bagus dan sesuai dengan iklan,mantappp pokoknya... cma packingnya horor... alngkah baiknya jika di packing kayu agar lebih aman,",pos
Good,pos
Bagus,pos
nice product,pos
Excellent,pos
"Barang Sesuai Dengan Iklan , Spesifikasi cocok",pos
Laptop sudah diterima. Barang bagus sesuai spec. Kurangnya hanya belum di install microsoft office.,pos
Pelayan Bagus ... Barang sesuai Harapan .. Bagus ... terimakasih ya,pos
Mantab lahh...Pengiriman cepat...,pos
Barang bagus. Tks banyak... 👍🙏,pos
"barangnya ok,, cpt smpainya, thanks lazada",pos
Joss,pos
baik berfungsi dengan baikkk,pos
Produk telah tiba sesuai estimasi.. pelayanan pemjual jiga baik.. semoga barangnya awet,pos
barang ok respon ok,pos
Semoga memuaskan,pos
ga bisa untuk save PDF file,neg
keren laptopnya rekomendasi bgt ini selulernya pun baik bgt top pokonya,pos
barang bagus admin nya ramah dan cantik thanks dd,pos
Barang bagus,pos
Flashdisk nya cepat rusak cuman bisa nyimpan beberapa film saja gimana ni,neg
Laptop nya sudah saya terima dan packing nya bagus tanpa sedikit cacat.ThanksLazada,pos
Puas banget sama pelayanan seller nya barang sesuai pesanan dan cepat sampai Seller nya rekomended Thank's,pos
"Produk Lenovo Ideapad ini sangat disukai anak saya, karena kecepatannya cukup memuaskan. Keypad nya nyaman, warnanya sporty sekali. Sesuai banget buat tugas-tugas sekolah anak. Pokonya nge-rock....!!",pos
Barang diterima sesuai dengan spek yang diberikan. Harga murah dengan spek yang diberikan. Terima kasih Lazada,pos
1.5 hari barang langsung sampai dari surabaya ke bandung..  barang ok saya install ubuntu tanpa kendala buat ngodin.. thx..,pos
Barang bagus sesuai deskripsi tapi segel di dusnya sepertinya udah terbuka tetapi laptopnya mulus dan bagus,pos
"Product nya sudah diterima dengan baik, mulus no scratch, no dent, Thanks, klo garansi ke sssc jakarta bisa kan?",pos
"sampai sesuai dengan waktu yang ditentukan,, barang bagus,, packing bagus",pos
"Barang dateng cepat, mulus ga ada cacat ty",pos
Barang bagus dan mulus sesuai dengan yang di jual. tapi kenapa segel udah kebuka ya?,pos
Brg sudh smpe dengan selamat. Beserta bonus2 nya.. Terimakasih banyak. Sukses teruss..,pos
Laptopnya bagus..  tanpa kendala sedikitpun,pos
"Barang nyampai sesuai jadwal, packing bagus, kondisi laptop bagus..jos lah pokoknya",pos
Ini vga nya sudah  dual grafik VGA kah?,pos
kenapa pesanan saya mostnya tidak dikasih..saya merasa rugi...,neg
"pengiriman cepat, barang sesuai gambar dan pengemasan baik dan rapi",pos
mantap  pengiriman cepat.,pos
"Barangnya bagus sesuai pesanan,packingnya rapih barang dua duanya bagus tdk ada masalah,terimakasih lazada,terimakasih seller👍👍👍",pos
"Gambar jernih, suara kenceng, pengaturan menu lengkap dan mudah, pengiriman cepat cuma 1 hari. Terima kasih.",pos
"Trims lazada. Paket pembelian Tv kami telah sampai ketujuan tepat waktu, Tanpa cacat sedikit pun.",pos
Barang cepet dateng dan oke,pos
Baru berapa bulan tv mati gak jelas.,neg
barang sudah smpe gan.. thanks yaa...,pos
"Udah sampai, saya puas walaupun pengirimannya sedikit telat dan abang kurirnya  nyolot ngotot gara-gara nyari nama saya gak ada yang knal, udah cape nanya nama saya ..baru nlp. Harusnya tlp dulu biar pasti walaupun alamat kurang lngkap. Thanks lazada",pos
"Tv nya utuh, bagus tapi klo bisa pakingnya pake kayu biar lebih aman",pos
Pesen sehari langsung sampai... Barang sesuai pesanan ...  Barang diterima dalam kondisi baik. Terimakasih ....,pos
mantap,pos
Barang pesanan sesuai paking rapih,pos
barang asli,pos
nice,pos
